"5,98"
"7,00"
"10,90"
"4,22"
"4,12"
"3,93"
"4,93"
"5,12"
"5,97"
"6,60"
"4,63"
"6,83"
"7,30"
"6,32"
"7,58"
"5,68"
"6,63"
"7,00"
"7,08"
"5,12"
"7,23"
"8,47"
"13,18"
"5,10"
"4,98"
"4,77"
"5,97"
"6,18"
"7,22"
"7,98"
"5,60"
"8,27"
"8,83"
"7,65"
"9,18"
"6,88"
"8,03"
"8,47"
"8,57"
"6,18"
"8,77"
"10,25"
"15,97"
"6,17"
"6,03"
"5,77"
"7,22"
"7,48"
"8,73"
"9,67"
"6,78"
"10,00"
"10,68"
"9,25"
"11,10"
"8,32"
"9,72"
"10,25"
"10,37"
"7,48"
"10,60"
"12,40"
"19,32"
"7,47"
"7,30"
"6,97"
"8,73"
"9,07"
"10,57"
"11,70"
"8,20"
"12,10"
"12,93"
"11,18"
"13,43"
"10,07"
"11,75"
"12,40"
"12,55"
"9,07"
"12,83"
"15,00"
"23,37"
"9,03"
"8,82"
"8,43"
"10,58"
"10,97"
"12,78"
"14,15"
"9,93"
"14,65"
"15,65"
"13,53"
"16,25"
"12,18"
"14,22"
"15,00"
"11,54"
"8,64"
